2025;2021;2018
9.75;7.5;4
8.5;6.5;7
8;8.5;6.75
6;7.25;6.25
9.5;9.5;7.25
9.75;10;6
5;5.5;6.25
9.25;7.5;7.25
9.25;8;6.5
9.25;6.5;8
9.5;8;9.5
9;6;7.75
8;7.5;6.75
9.25;9.75;6.5
9;8.5;8
9.25;8.25;6
8.5;6.25;8
6;9.5;8
9.5;6;8.25
8;7.5;6
6;6;8.5
7;6;8.25
7;7.25;8
7;6.5;8
7.75;6;7.25
7;8;8.5
6.75;6.5;7.75
8.75;8.25;6.5
8.5;9.5;6.25
8.25;8;7.5
8.75;8.5;8.5
6;7.5;6.5
4.75;8.25;6.5
8.25;7.25;6.75
9.75;6;7.5
9.75;8.25;8
9.75;8;8.5
8;7;8.75
9.25;5.5;7
7.5;6.25;8.5
6.75;6.5;6
9.5;6.5;7
9.25;7;6
7.5;8.5;6
7.75;8.75;7.5
6;8.5;8
7.5;7.5;6
6.75;8.5;8
9;6.5;6.5
7.75;8;9
9.75;8;7.5
8.5;6.75;6
9;8.25;6
7.75;7.5;5
10;7.5;7
6.5;7;7
9.5;8.25;7
8.5;6.5;6
9.5;6.75;6.5
6.25;8.25;6.5
7;8.5;7.5
9;6.5;7
7.5;7.5;8.25
8.5;8.25;5.25
10;8;7.5
6.75;6;7
7.5;5.75;7.75
6.5;6.5;8.25
6.25;;7.25
7.5;;8.75
8.5;;7.25
6.5;;6.5
7.75;;8.5
8;;7.75
5;;7.75
9.25;;7.75
10;;8.75
7.75;;8.5
7.25;;6
8.75;;8
6;;8.5
7.5;;7
6;;8
9.25;;6.5
8;;6.5
6;;8.5
9.25;;7.5
8.5;;7.5
8;;7.5
7.75;;8
9;;7.5
8.25;;7
8;;7.5
9.5;;7
8.75;;8.5
9;;7.5
8;;7
6;;6
7.5;;8.5
6.25;;7.5
9.5;;8.5
7.25;;9.5
9.75;;8.25
6.5;;6.25
9;;8.5
7.55;;7.75
7.5;;6.5
9.75;;6.25
9;;9
8.75;;8.5
7.5;;6.75
8;;7.25
7.25;;6
5.5;;7.5
9.5;;8.25
9.25;;8
9;;5.25
8.25;;7.5
6;;8.25
8.25;;8.5
4;;8.5
9;;7.25
7;;8.5
7.5;;6
7.75;;6.75
8.75;;8.5
6.25;;6
8.5;;7.5
7.5;;6.25
9.25;;8
6.25;;9.5
7;;8
9.25;;8.25
7.5;;7.25
8;;8
9.5;;6.5
8.75;;6
9.75;;8.5
7.5;;6.5
7.25;;6
4.75;;8.75
7.5;;9.5
9.5;;8
8.5;;8.25
9.5;;7
7.75;;6.5
7.25;;6
9;;8
8.75;;7
8;;5
8.25;;4.5
8.25;;6.5
7.75;;6.5
7.25;;5
9.75;;6
7.5;;6.5
7.5;;6.5
5;;8.5
8.75;;8.5
8.5;;6.5
7.75;;6.5
8.5;;8.5
9;;6.5
8;;7.75
7.5;;6.5
7.25;;6.5
8.5;;8
8.5;;8.5
8;;6
9.25;;8.5
7.75;;8.5
9.25;;6
8.25;;8.5
9;;6
10;;9
8.75;;8.5
8.75;;6
7.75;;8.5
7.75;;7
7.5;;6.5
8.25;;8.5
7.75;;8.5
9;;7
7.25;;7
6.75;;6
6.25;;7
7.5;;6.5
8.25;;8.5
8.5;;8.25
9;;6.5
8.75;;6.75
4;;6.5
8;;8.25
7.5;;6.75
7.75;;6.25
7;;8.25
5.5;;6
;;6
;;7.25
;;8.5
;;8.5
;;7.25
;;8
;;6.25
;;9
;;6.5
;;8.25
;;8.5
;;6
;;6.5
;;8.5
;;6
;;7.5
;;8.5
;;8
;;8
;;6
;;8.5
;;7.5
;;6
;;8.5
;;6.5
;;6.5
;;6
;;8
;;6
;;9
;;6.75
;;7.75
;;6.75
;;6.5
;;7.25
;;6.5
;;8.25
;;8.5
;;6.5
;;7.75
;;8.25
;;6.25
;;6
;;6.5
;;7.5
;;8
;;7.75
;;7.5
;;6
;;8
;;6.25
;;7
;;7
;;6.5
